"Month,Day",Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in)
"02,01",17,-6.6,35.1,9.4,30.4,0
"02,02",25.6,6.2,44.3,10.4,30.2,0
"02,03",40,26.9,60.1,5.6,30.1,0
"02,04",46.4,33,60.6,5.4,30,0
"02,05",50.4,38.7,66.8,4.9,29.9,0
"02,06",40.6,30.1,66.8,10.7,30.1,0
"02,07",41.1,38.1,89.2,10.3,30.1,0.56
"02,08",43.6,35.1,76.9,10.2,29.9,0.33
"02,09",29.1,7.8,40.9,22.2,30.5,0.07
"02,10",29.7,9,43,9.8,30.6,0
"02,11",34.2,16.8,50,6.8,30.3,0
"02,12",30.3,22.8,76.6,14.8,30.2,0
"02,13",36.3,28,74.8,14.6,29.6,0.76
"02,14",38.3,18.5,45.9,12.5,30,0
"02,15",47.1,37.6,69.5,8.6,29.8,0
"02,16",39.8,20,45.5,15.4,29.8,0
"02,17",31.9,15.4,51.3,9.4,30.1,0
"02,18",34.5,28.6,80.5,12,29.9,0.13
"02,19",29.1,9.6,45.2,13.8,30.5,0.01
"02,20",28.3,19.1,71.6,8.3,30.4,0
"02,21",38.8,32.1,79.5,9.1,29.9,0.73
"02,22",40.5,22.8,49.4,13.4,30.3,0
"02,23",36,23.7,61.2,7.9,30.4,0
"02,24",40.3,37.2,89.8,12.4,29.7,0.51
"02,25",38.8,12.5,34.5,27.6,29.7,0.22
"02,26",29.5,7.7,40.2,17.7,30.3,0
"02,27",25.8,9,49.6,10.4,30.3,0
"02,28",29.8,18.9,66.8,10,30.1,0.03
"03,01",29.7,23.5,78.6,11.1,30.3,0.09
"03,02",34.3,28.9,81.3,10.1,30.1,0.41
"03,03",36.4,27.1,71.2,8.3,28.1,0.05
"03,04",34.3,24.8,71,14.3,22.3,0.84
"03,05",26.9,6.5,42.5,13.4,30,0
"03,06",23.2,3.8,44.2,16.8,30.1,0
"03,07",25.2,5.5,43.1,13.1,30.3,0
"03,08",31.3,13.7,48.5,6.3,30.3,0
"03,09",39.1,21.5,51.5,6.8,30.3,0
"03,10",37.7,33.9,87,13.8,30.1,0.3
"03,11",46.7,28,52.4,14.6,30,0.36
"03,12",38.3,18.2,44.6,17.7,30.2,0
"03,13",38.2,21.3,51.5,8.3,30.3,0
"03,14",47.2,33.8,60.6,10.5,30.2,0
"03,15",56.5,48,74.3,11.8,29.8,0
"03,16",48,25.1,41.4,18.4,29.9,0.27
"03,17",38.4,12.3,35,13.6,30.1,0
"03,18",38.8,13.4,36.1,7.6,30.3,0
"03,19",41.8,19.3,42.5,7.2,30.4,0
"03,20",43.9,25.4,51.2,10,30.3,0
"03,21",42,37.1,83,14.1,30,0
"03,22",43.1,36.5,79.8,22.2,29.4,1.16
"03,23",40.5,19.4,45,22.9,29.8,0.06
"03,24",49.2,12.5,24.1,11.9,30.1,0
"03,25",50.9,25.7,38.5,9.3,30,0
"03,26",41.2,4.3,22.3,12.6,30.2,0
"03,27",38.9,12.9,35.3,10.3,30.5,0
"03,28",43.1,27.8,55.6,9.9,30.4,0
"03,29",52.9,39.3,60.4,7.3,30.1,0
"03,30",54.7,42,63.8,11.6,30,0
"03,31",50.9,40.9,69.3,15.1,29.7,0
"04,01",39.8,15.4,38.4,16.4,30.2,0.08
"04,02",43.6,23,45.7,10.3,30.3,0
"04,03",51.2,27.4,49.7,17.5,30,0
"04,04",50.7,16.8,26.6,14.3,30.3,0
"04,05",40,23,55.9,10.8,30.4,0
"04,06",48.2,39,74.2,7.1,30.2,0.23
"04,07",55.4,40,57.8,7.7,30.2,0
"04,08",57.3,49.4,77.4,11.8,29.8,0.25
"04,09",45.9,42.1,87,9.1,29.7,0
"04,10",51.1,31.2,49.2,12.7,29.8,0.02
"04,11",45.1,21.3,39.6,7.3,30.2,0
"04,12",53.1,42,68.1,11.8,30.2,0
"04,13",63.6,56.2,78.2,9.5,30,0.76
"04,14",60.7,57,88.1,9.4,29.8,0
"04,15",55.1,46.9,76,18.5,29.4,0.6
"04,16",52.7,22.5,32.9,18.6,29.9,0.18
"04,17",52.5,30.8,46.1,8.5,30.1,0.01
"04,18",55.4,44.1,67,11.6,30,0
"04,19",62.7,56.3,80.6,13.3,29.8,0
"04,20",59.6,56.9,91,15.7,29.7,0.33
"04,21",56.7,48,73.8,9.4,30,0.35
"04,22",55.1,49.7,82.3,8.5,30,0
"04,23",62.4,49.1,63.9,8.3,29.9,0.29
"04,24",63.4,41.8,46.6,12.5,29.7,0.11
"04,25",54.5,40.3,59.6,8.4,29.9,0
"04,26",53.5,50.2,88.6,12.9,29.6,0.21
"04,27",53.3,34.1,51.1,17.7,29.5,1.01
"04,28",49.6,37.2,62.4,11,30,0
"04,29",50.2,29.1,46.4,9.8,30.3,0
"04,30",50.4,46.4,86.5,6.9,30.2,0.07
"05,01",50.9,44.8,80.7,8.1,30.3,0
